Date;Localisation;ESR;Type
31/10/2014;Lyon Guillotière;oui;Franchissement de signal
29/10/2014;Entre Lisieux et Trouville Deauville;non;Dépassement de vitesse supérieur à 40km/h
29/10/2014;Meaux;non;Déraillement sans engagement de la voie principale
03/11/2014;Paris Est;non;Dérive
29/10/2014;Nogent sur Seine;non;Défaut géométrie voie
20/11/2014;Entre Choisy et Les Ardoines;non;Mise en œuvre de travaux en dehors du domaine fermé
18/11/2014;Villeneuve St George;oui;Acte de Malveillance
06/11/2014;Entre Trouville et Pont l’Evêque;non;Collision contre obstacle à un passage à niveau
12/11/2014;Port la Nouvelle;non;Déraillement sans engagement de la voie principale
14/11/2014;La Rochelle Pallice;non;Déraillement sans engagement de la voie principale
11/11/2014;Vaires;oui;Défaillance voie
05/11/2014;Firminy;non;Frein serré
23/11/2014;Rennes;non;Accident de personne
15/12/2014;St Germain des Fossés;oui;Collision entre trains ou éléments de trains
22/12/2014;Liancourt Rantigny;non;Boîte chaude
16/12/2014;Achères Triage;non;Réception intempestive sur voie occupée
27/12/2014;Montroc le Planet;oui;Déraillement
12/12/2014;Entre Le Havre et Virville;non;Porte ouverte en ligne
26/12/2014;Entre Sablé & Avoise;non;Collision contre obstacle
19/12/2014;Creuzwald;non;Incident de frein
26/12/2014;St Génies de Malgoirès;non;Défaillance voie
22/12/2014;Bollène La Croisière;non;Collision contre obstacle
26/12/2014;St Avold;non;Collision contre obstacle
10/12/2014;St Pierre des corps;oui;Sortie intempestive ou engagement d’un domaine fermé
03/12/2014;Villeneuve St George;non;Franchissement de signal
09/12/2014;Montauban;oui;Collision contre obstacle à un passage à niveau
30/11/2014;Romans sur Isère;non;Circulation de véhicule non autorisée
29/11/2014;Les Arcs;non;Départ sans autorisation
11/12/2014;Achères Triage;oui;Défaillance voie
01/12/2014;Nemours;non;Accident de personne
26/11/2014;Nogent sur Seine;oui;Défaillance voie
24/11/2014;St Jory;non;Déraillement sans engagement de la voie principale
04/12/2014;Regny;non;Déraillement sans engagement de la voie principale
12/01/2015;Grigny;oui;Raté de fermeture à un passage à niveau
09/01/2015;Montbrison;oui;Dépassement de vitesse supérieur à 40km/h
31/12/2014;Entre Portes les Valence et Pierrelatte;non;Porte ouverte en ligne
30/12/2014;Entre Malaunay et Maromme;non;Porte ouverte en ligne
31/12/2014;Allenc;oui;Raté de fermeture à un passage à niveau
06/01/2015;Pontoise;non;Franchissement de signal
01/01/2015;Marseille St Charles;oui;Réception intempestive sur voie occupée
29/12/2014;Beaune;non;Incident caténaire
06/01/2015;Juvisy;non;Franchissement de signal
02/01/2015;Nice St Roch;non;Talonnage d’aiguille ou bivoie
14/01/2015;Puyoo;non;Réception intempestive sur voie occupée
14/01/2015;Lunel;oui;Raté de fermeture à un passage à niveau
19/01/2015;Strasbourg Technicentre;non;Accostage brutal
12/01/2015;Bréauté;non;Réception intempestive sur voie occupée
12/01/2015;Montbrison;oui;Dépassement de vitesse supérieur à 40km/h
13/01/2015;Chambéry Technicentre;non;Franchissement de signal
19/01/2015;Hausbergen;non;Accident de marchandise dangereuse
29/01/2015;Narbonne;non;Dégagement intempestif du domaine fermé
04/02/2015;Lyon Perrache;oui;Engagement intempestif d’une circulation sur une voie protégée
06/02/2015;Mulhouse;non;Porte ouverte en ligne
26/01/2015;Avignon Technicentre;non;Déraillement sans engagement de la voie principale
03/02/2015;St Pierre des Corps;non;Déraillement sans engagement de la voie principale
15/12/2014;Grand Pont;non;Départ sans autorisation
12/12/2014;Dreux;non;Réception intempestive sur voie occupée
11/12/2014;Vierzy;oui;Dépassement de vitesse supérieur à 40km/h
09/12/2014;Achères;non;Réception sur voie secondaire
09/12/2014;Ambérieu;non;Incident caténaire
16/12/2014;Rennes Technicentre;non;Non conformité du matériel roulant
22/12/2014;Entre Questembert et Vannes;non;Collision contre obstacle
17/12/2014;Deuil Montmagny;non;Collision contre obstacle à un passage à niveau
18/12/2014;Woippy;non;Déraillement sans engagement de la voie principale
15/12/2014;Perrigny Poste A;non;Talonnage d’aiguille ou bivoie
19/09/2014;Lamballe;non;Départ sans autorisation
19/09/2014;Patay;non;Non respect du point d’arrêt
18/09/2014;Puy Guillaume;non;Déraillement sans engagement de la voie principale
03/10/2014;Marvejols;non;Talonnage d’aiguille ou bivoie
18/09/2014;Cassis;non;Déraillement sans engagement de la voie principale
23/09/2014;St Germain au Mont d’Or;non;Déraillement sans engagement de la voie principale
01/10/2014;Perpignan;non;Déraillement sans engagement de la voie principale
25/09/2014;Reims Bétheny;non;Déraillement sans engagement de la voie principale
02/10/2014;Gevrey;non;Déraillement sans engagement de la voie principale
13/01/2015;Hourcade;non;Réception intempestive sur voie occupée
16/01/2015;Entre Nice St Roch et Drap;oui;Collision contre obstacle à un passage à niveau
06/01/2015;La Baule Escoublac;non;Talonnage d’aiguille ou bivoie
13/01/2015;Capdenac;non;Franchissement de signal
16/01/2015;Aix en Provence;oui;Franchissement de signal
13/01/2015;Nevers;oui;Défaillance voie
20/01/2015;Montbéliard;non;Réalimentation intempestive des caténaires
09/01/2015;Ampuis;non;Incident caténaire
08/01/2015;Vénissieux;non;Déraillement sans engagement de la voie principale
06/01/2015;Sainte Pazanne;non;Talonnage d’aiguille ou bivoie
30/10/2014;Entre Alençon et La Hutte;non;Incident grave de passage à niveau
06/11/2014;Orry La Ville;non;Arrêt hors de quai de tout ou partie d’un train de voyageurs
13/11/2014;Pont Cardinet;non;Erreur de procédure
11/11/2014;Entre Bourmont et Neufchâteau;oui;Acte de malveillance
15/11/2014;Paris Austerlitz;non;Déraillement sans engagement de la voie principale
31/10/2014;Villeneuve St Georges Triage;non;Franchissement de signal
20/11/2014;Vaires sur Marne;non;Déraillement sans engagement de la voie principale
02/11/2014;Gevrey;non;Franchissement de signal
04/11/2014;Dijon Ville Chantier;non;Réalimentation intempestive des caténaires
18/11/2014;Valenciennes;non;Déraillement sans engagement de la voie principale
02/01/2015;Chauny;non;Déraillement sans engagement de la voie principale
22/12/2014;Juvisy;non;Défaillance voie
26/12/2014;Marly le Roi;non;Déraillement sans engagement de la voie principale
06/01/2015;Montsoult Maffliers;oui;Collision contre obstacle
31/12/2014;Le Mans;non;Franchissement de signal
23/12/2014;Bordeaux Technicentre;non;Déraillement sans engagement de la voie principale
24/12/2014;Entre La Chapelle Centre & La Chapelle Aulnay;non;Collision contre obstacle
28/12/2014;Entre Conches et La Bonneville;non;Collision contre obstacle
23/12/2014;St Quentin Fallavier;non;Défaillance voie
23/12/2014;St Benoit;non;Collision contre obstacle
25/11/2014;Combs La Ville;oui;Accident du travail
01/12/2014;Batignolles;non;Franchissement de signal
24/11/2014;Entre Laroquebrou et Viescamp;oui;Déshuntage
04/12/2014;L’Hébergement Les Brouzils;non;Porte ouverte en ligne
08/12/2014;Nogent l'Artaud;non;Incident caténaire
01/12/2014;Argenteuil;non;Déraillement sans engagement de la voie principale
23/11/2014;Maurecourt;non;Accident de personne
02/12/2014;Sète;non;Déraillement sans engagement de la voie principale
02/12/2014;Batignolles;non;Incident caténaire
06/12/2014;Paris Le Landy;non;Franchissement de signal
28/01/2015;Paris Gare de Lyon;oui;Déraillement sans engagement de la voie principale
28/01/2015;Gare de Lyon;non;Déraillement
23/01/2015;Brétigny Poste C;non;Déraillement sans engagement de la voie principale
14/03/2017;LA GRAVE D'AMBLARES;oui;Collision
03/03/2017;VALENCE POSTE 2;non;Erreur de procédure
13/03/2017;WOIPPY TRIAGE;non;Déraillement
14/03/2017;BORDEAUX;non;Erreur d’itinéraire
13/03/2017;SIBELIN;oui;Déraillement
23/03/2017;HOUCARDE;non;Franchissement de signal
20/03/2017;ANNEMASSE;non;Accident du travail
23/03/2017;NC;non;Accident du travail
01/03/2017;SAINT-GERMAIN-AU-MONT-D'OR;non;Accident du travail
20/03/2017;TECHNICENTRE AUVERGNE NIVERNAIS;non;Accident du travail
25/02/2017;SAINTES;oui;Expédition sans ordre
24/02/2017;PONTGOUIN;oui;Incendie dans un train
13/02/2017;AIX-Les-BAINS;non;Circulation de véhicule non autorisée
21/02/2017;Entre NUISEMENT à LUYERES;non;Appareil de voie mal disposé
06/02/2017;JARVILLE;non;Erreur de procédure
22/02/2017;DOURDAN;oui;Défaut géométrie voie
09/02/2017;HETTANGE-GRANDE;non;Erreur de procédure
10/02/2017;SIBELIN;oui;Incendie dans un train
01/02/2017;TECHNICENTRE BFC;non;Dérive
01/02/2017;MIRAMAS;non;Matières dangereuses
18/10/2016;MONTFORT L'AMAURY;non;Talonnage d’aiguille ou bivoie
21/10/2016;REIMS;non;Pénétration intempestive sur domaine fermé
26/10/2016;AGONAC;oui;Erreur de procédure
31/10/2016;LABARTHE INARD;oui;Dépassement de vitesse supérieur à 40km/h
10/11/2016;LILLE DELIVRANCE;oui;Déraillement
05/11/2016;CASTRES;oui;Dérive
20/10/2016;MIRAMAS;non;Collision entre trains ou éléments de trains
24/10/2016;CHEMILLE;non;Erreur de procédure
07/11/2016;AMIENS;oui;Erreur de procédure
02/11/2016;SAINT-DENIS;non;Chute de voyageur
14/12/2016;BERRE;oui;Franchissement de signal
30/11/2016;PARIS BERCY;non;Erreur de procédure
26/12/2016;ENTRE CAGNES SUR MER ET ANTIBES;oui;Franchissement de signal
12/12/2016;SAINTE LUCE SUR LOIRE;oui;Erreur de procédure
15/12/2016;SAINT-DENIS;non;Déraillement
05/12/2016;CLERMONT-FERRAND;non;Franchissement de signal
06/12/2016;ZOUFFTGEN (Luxembourg);non;Expédition sans ordre
06/12/2016;AULNAY SOUS BOIS;oui;Incident caténaire
23/07/2015;Raccordement Rouen Martainville;oui;Raté de fermeture à un passage à niveau
02/08/2015;Lunel;oui;Incendie dans un train
10/08/2015;Sens;non;Déraillement sans engagement de la voie principale
30/07/2015;Entre Massy TGV et Paris-Montparnasse;oui;Porte ouverte en ligne
10/08/2015;Saint-Gervais;non;Déraillement sans engagement de la voie principale
17/08/2015;Sainte-Bazeille;non;Collision contre obstacle à un passage à niveau
30/07/2015;Monts;non;Avarie au matériel
18/08/2015;Pantin;oui;Défaillance voie
29/07/2015;Beuvraignes;non;Perte d’organe du matériel roulant
16/08/2015;Rosny Bois Perrier;non;Défaillance voie
28/04/2015;Langeac;oui;Déraillement sans engagement de la voie principale
15/04/2015;Entre Castillon la Bataille et St Emilion;oui;Raté de fermeture à un passage à niveau
28/04/2015;Pierrelatte;non;Incendie dans un train
17/04/2015;Magenta (Paris Est);non;Incident caténaire
14/04/2015;Lens;non;Collision entre trains ou éléments de trains
22/04/2015;Sibelin;non;Réception intempestive sur voie occupée
14/04/2015;Lyon Vaise;non;Déraillement sans engagement de la voie principale
14/04/2015;Pont Cardinet;non;Déraillement sans engagement de la voie principale
21/04/2015;Riom;oui;Raté de fermeture à un passage à niveau
16/04/2015;Tarbes;non;Déraillement sans engagement de la voie principale
05/05/2015;Entre Piolenc et Roquemaure;non;Sortie intempestive ou engagement d’un domaine fermé
12/05/2015;Sibelin;non;Déraillement sans engagement de la voie principale
02/05/2015;Rumilly;oui;Désordre d’ouvrage en terre
15/05/2015;Puget;oui;Incident grave de signalisation
03/05/2015;Entre  Km 155+600 et Le Luc;oui;Dépassement de vitesse supérieur à 40km/h
09/05/2015;Entre Bolbec N. PL et Bréauté B;non;Déraillement sans engagement de la voie principale
05/05/2015;Lyon Guillotière;oui;incident grave de signalisation
05/05/2015;Dunkerque;non;Franchissement de signal
30/04/2015;Miramas;non;Talonnage d’aiguille ou bivoie
07/05/2015;Arras;non;Electrocution
02/04/2015;Belfort;oui;Mouvement en sens inverse du sens normal
08/04/2015;Montmoreau Tunnel du Livernan;oui;Heurt au croisement
31/03/2015;La Rochelle Pallice;oui;Franchissement de signal
11/04/2015;Besançon-Viotte;non;Franchissement de Signal
01/04/2015;Ruelle;non;Incendie dans un train
13/04/2015;Vénissieux;non;Déraillement sans engagement de la voie principale
09/04/2015;Gare d'Alençon;non;Défaillance voie
05/04/2015;Bourron Marlotte;non;Accident de personne
01/04/2015;Gare de Pont Cardinet;non;Départ sans autorisation
31/03/2015;Beaune;non;Réception intempestive sur voie occupée
24/05/2015;Entre Uckange et Hagondange;oui;Déraillement
10/06/2015;Entre Le Havre et Rouen Rive Droite;oui;Dépassement de vitesse supérieur à 40km/h
17/05/2015;St Martin-Sail-les-Bains;non;Talonnage d’aiguille ou bivoie
03/06/2015;Amiens;non;Franchissement de signal
26/05/2015;Le Landy Pleyel;non;Déraillement sans engagement de la voie principale
06/06/2015;Vonnas;oui;Raté de fermeture à un passage à niveau
28/05/2015;Chantenay;non;Engagement intempestif d’une circulation sur une voie protégée
07/06/2015;Saint-Galmier-Veauche;oui;Désordre d’ouvrage d'art
30/05/2015;Hesdigneul;oui;Porte ouverte en ligne
28/05/2015;Champagne sur Oise;non;Accident de personne
18/03/2015;Villeneuve Triage;non;Franchissement de signal
25/03/2015;Hourcade;non;Franchissement de signal
26/03/2015;St-Etienne-Bellevue;non;Franchissement de signal
22/03/2015;Strasbourg;oui;Incident grave de signalisation
24/03/2015;Magneux-Courlandon;oui;Dérive
26/03/2015;Trappes;non;Réception intempestive sur voie occupée
26/03/2015;Hagondange;non;Réception intempestive sur voie occupée
26/03/2015;Entre Montauban et Toulouse;non;Porte ouverte en ligne
20/03/2015;Chateaudun;non;Déraillement sans engagement de la voie principale
18/03/2015;Connéré Beillé;non;Départ sans autorisation
03/09/2015;Bretigny;non;Modification d'itinéraire sous un train
24/08/2015;Fleurville Pont de Vaux;oui;Porte ouverte en ligne
30/08/2015;Saint-Cyprien-Arenes;non;Franchissement de signal
28/08/2015;Lens;oui;Porte ouverte en ligne
22/07/2015;Entre Pontoise et Boissy l'Aillerie;non;Circulation de véhicule non autorisée
23/07/2015;Pierrefitte;oui;Porte ouverte en ligne
13/07/2015;Creil;oui;Franchissement de signal
08/07/2015;Stade de France;oui;Défaillance voie
04/07/2015;Narbonne;oui;Franchissement de signal
14/07/2015;Bram;non;Défaillance matériel
20/07/2015;Evreux;non;Porte ouverte en ligne
13/07/2015;Gare d'Achères Triage;non;Déraillement
05/07/2015;Besancon viotte;non;Défaillance voie
19/06/2015;Uckange;non;Incident caténaire
28/10/2015;Ite Carrieres de Pagnac;non;Défaillance voie
28/10/2015;Reims;oui;Incident grave de signalisation
23/10/2015;Quimper;non;Franchissement de signal
14/10/2015;Vénissieux;non;Réception intempestive sur voie occupée
26/10/2015;Selestat;non;Déraillement
08/10/2015;Eze;oui;Porte ouverte en ligne
25/10/2015;Pavillons-sous-Bois;non;Collision contre obstacle à un passage à niveau
19/04/2017;CHATELLERAULT;oui;Erreur de procédure
10/05/2017;LYON;oui;Dérive
22/04/2017;CHERBOURG;oui;Franchissement de signal
21/04/2017;REIMS;non;Talonnage d’aiguille ou bivoie
18/04/2017;EMERAINVILLE-PONTAULT-COMBAULT;non;Porte ouverte en ligne
20/04/2017;GRETZ-ARMAINVILLIERS;non;Porte ouverte en ligne
07/05/2017;MOMMENHEIM;non;Avarie matériel roulant
21/04/2017;LA CHAPELLE;non;Accident du travail
09/05/2017;ASPRES SUR BUECH;non;Acte de malveillance
27/04/2017;MIRAMAS;non;Déraillement
22/05/2017;ENTRE ANIZY PINON ET LAON;non;Défaillance voie
23/05/2017;AMBERIEU;non;Appareil de voie mal disposé
08/06/2017;VILLENEUVE TRIAGE;non;Erreur d’itinéraire
17/05/2017;LILLE - BIF DES SOURDS ET MUETS;non;Dégagement intempestif du domaine fermé
28/05/2017;LORRAINE LOUVIGNY BV;non;Perte d’organe du matériel roulant
31/05/2017;DIJON;non;Réception intempestive sur voie occupée
07/06/2017;PORTES;non;Déraillement
17/05/2017;Grande Opération Programmée de MULHOUSE;non;Accident du travail
15/05/2017;NEUF-BRISACH;non;Talonnage d’aiguille ou bivoie
24/08/2014;Toulouse Raynal;non;Franchissement de signal
18/08/2014;La Bastide St Laurent les Bains;oui;Déraillement sans engagement de la voie principale
27/08/2014;Goussainville;non;Engagement intempestif d’une circulation sur une voie protégée
19/08/2014;Lyon;non;Franchissement de signal
19/08/2014;Maisons Alfort Alfortville;non;Sortie intempestive ou engagement d’un domaine fermé
26/08/2014;Colayrac;non;Erreur de procédure
25/08/2014;Brives la Gaillarde;oui;Franchissement de signal
19/08/2014;Clermont Ferrand;non;Déraillement sans engagement de la voie principale
18/08/2014;Culoz;non;Déraillement sans engagement de la voie principale
17/04/2015;Valence TGV;oui;Départ sans autorisation
08/04/2015;Ollioules;oui;Mise en œuvre de travaux en dehors du domaine fermé
27/03/2015;Paris-Austerlitz Massena;non;Nez à nez
27/03/2015;Trappes;non;Erreur grave de procédure
14/04/2015;Pagny Moselle;oui;Franchissement de signal
26/03/2015;Lyon Guillotière;non;Franchissement de signal
16/04/2015;Forbach;non;Matières Dangereuses
31/03/2015;Amiens;non;Déraillement sans engagement de la voie principale
03/04/2015;Gare de Rambouillet;non;Franchissement de signal
01/04/2015;Bourget Triage;oui;Défaillance voie
02/03/2015;Entre Merrey et Culmont-Chalindrey;oui;incident caténaire
15/03/2015;Baroncourt;non;Accident de personne
28/02/2015;Saint Denis;non;Franchissement de signal
01/03/2015;Notre Dame de Briançon;non;Incident caténaire
03/03/2015;Rives;oui;
03/03/2015;Hourcade;non;Déraillement sans engagement de la voie principale
10/03/2015;Noisy Le Sec;non;Franchissement de signal
03/03/2015;Lyon Saint Exupéry;non;Franchissement de signal
23/02/2015;Chateau Thierry;non;Point limite d’un pantographe dépassé par une circulation électrique
23/02/2015;Lesparre;non;Incident caténaire
21/03/2015;Sibelin;oui;Collision
18/03/2015;Entre Toulouse et Auch;oui;Collision contre un obstacle à un passage à niveau
24/03/2015;Lyon Guillotière;non;Déraillement sans engagement de la voie principale
26/03/2015;Grenoble Buisserate;non;Marchandises dangereuses
15/03/2015;Colmar;oui;Ouverture par un tiers d’une porte de TGV en marche
20/03/2015;Nantes;non;Perte d’organe du matériel roulant
23/03/2015;Bollene;non;Déraillement sans engagement de la voie principale
24/03/2015;Entre Sotteville & Bif. de Darnetal;non;Collision contre obstacle
17/03/2015;Hellemmes;non;Déraillement sans engagement de la voie principale
23/03/2015;Chantier Paris Ourcq;non;Franchissement de signal
18/02/2015;Gare de Paris Saint Lazare;oui;Accident du travail
09/02/2015;Malesherbes;non;Engagement intempestif d’une circulation sur une voie protégée
13/02/2015;Bibliothèque François Mitterrand;non;Porte ouverte en ligne
13/02/2015;Nîmes;non;Engagement de gabarit suite à désemparement de pièce
17/02/2015;Sète;non;Déraillement sans engagement de la voie principale
19/02/2015;Aubigny au Bac;oui;Défaillance voie
10/02/2015;Somain;non;Déraillement sans engagement de la voie principale
20/02/2015;Gandrange;non;Talonnage d’aiguille ou bivoie
11/02/2015;Valognes;non;Accident de personne
14/02/2015;Paris Montparnasse;non;Dérive
09/09/2015;Serqueux;oui;Franchissement de signal
04/09/2015;Saint-Marcel;oui;Déraillement
02/09/2015;Villemonble;oui;Franchissement de signal
01/09/2015;Amberieu;non;Déraillement sans engagement de la voie principale
29/08/2015;Fos-Viguerat;oui;Franchissement de signal
08/09/2015;Tourcoing;non;Matières dangereuses
12/08/2015;Paris Bercy;non;Franchissement de signal
23/08/2015;Montpellier;oui;Déraillement
25/08/2015;Entre Cosne et la Charité;oui;Incident grave de signalisation
13/08/2015;Massy Palaiseau;non;Réception intempestive sur voie occupée
12/08/2015;Le Bourget Triage;non;Déraillement sans engagement de la voie principale
08/08/2015;Paris Saint-Lazare;oui;Dérive
17/08/2015;Montsoult-Maffliers;non;Circulation de véhicule non autorisée
26/08/2015;La Charité;oui;Incident grave de signalisation
12/08/2015;Paris Saint-Lazare;oui;Dérive
11/08/2015;Entre Mezy et Condé en Brie;non;Défaillance voie
24/06/2015;Lyon Part-Dieu;oui;Incendie dans un train
27/07/2015;Miramas;oui;Dérive
13/07/2015;Villeneuve Prairie;non;Déraillement sans engagement de la voie principale
07/07/2015;Villers en Argonne;non;Franchissement de signal
30/07/2015;Villeneuve Triage;non;Talonnage d’aiguille ou bivoie
22/07/2015;Entre Monts et Maillé;oui;Engagement de gabarit avec collision
25/06/2015;Hochfelden;non;Franchissement de signal
23/06/2015;Gevrey;non;Déraillement
03/08/2015;Achères;non;Départ sans autorisation
17/07/2015;Entre Viviers sur Rhones et Bourg Saint Andeol;non;Raté de fermeture à un passage à niveau
28/04/2015;Laroche Migennes;oui;Franchissement de signal
22/04/2015;Bourg-en-Bresse;oui;Franchissement de signal
22/04/2015;Sibelin;non;Réception intempestive sur voie occupée
22/04/2015;Montlouis sur Loire;non;Collision contre obstacle
02/05/2015;Aulnay;oui;Franchissement de signal
05/05/2015;Vallon;oui;incident grave de signalisation
19/04/2015;Anvers;non;Franchissement de signal
29/04/2015;Graveson;non;Boîte chaude
29/04/2015;Le Landy;non;Sortie intempestive ou engagement d’un domaine fermé
05/05/2015;Le Mans;oui;Défaillance voie
17/06/2015;Coursan;oui;Engagement intempestif d’une circulation sur une voie protégée
19/06/2015;Albigny Neuville;non;Incident caténaire
04/06/2015;Verrey;non;Collision contre obstacle
04/06/2015;Saint-Chamas;non;Frein serré
15/06/2015;Bordeaux Saint-Jean;non;Evolution vers une voie occupée
29/05/2015;Gare de Montreuil;oui;Défaillance voie
31/05/2015;Gare de Quimper;non;Incendie dans un train
09/06/2015;Bitschwiller;oui;Collision contre obstacle à un passage à niveau
02/06/2015;Riom;oui;Défaillance voie
19/06/2015;Dépôt de Chambery;oui;Défaut géométrie voie
19/05/2015;Entre Juvisy et Villeneuve le R.;oui;Perte d’organe du matériel roulant
22/05/2015;Gare de Trappes Poste 3;non;Dérive
06/05/2015;St Martin-Sail-les-Bains;non;Déshuntage
26/05/2015;Perrigny poste 3;oui;Collision avec enfoncement de heurtoir
27/05/2015;Penne;oui;Désordre d’ouvrage d'art
09/10/2014;Fos Viguerat;non;Sortie intempestive ou engagement d’un domaine fermé
06/10/2014;Bourg en Bresse;non;Réception intempestive sur voie occupée
08/10/2014;Blanc Mesnil;oui;Déraillement sans engagement de la voie principale
09/10/2014;Chatelay Chissey;non;Déshuntage
06/10/2014;Coolus;non;Talonnage d’aiguille ou bivoie
09/10/2014;St Priest;oui;Franchissement de signal
07/10/2014;Uckange;non;Talonnage d’aiguille ou bivoie
08/10/2014;Lille Délivrance;non;Déraillement sans engagement de la voie principale
10/10/2014;Albigny;non;Déraillement sans engagement de la voie principale
08/10/2014;Lyon Part Dieu;non;Défaillance voie
01/10/2014;Bois Colombes;oui;Franchissement de signal
02/10/2014;La Gouesnière Cancale;oui;Incendie dans un train
11/09/2014;Tourcoing;non;Réception intempestive sur voie occupée
01/10/2014;Entre Monterolier et Motteville;oui;Défaillance voie
08/09/2014;Lerouville;non;Déraillement sans engagement de la voie principale
16/09/2014;Mouchard;non;Franchissement de signal
09/09/2014;La Roche sur Yon;non;Défaillance voie
08/09/2014;Petit Thérain;non;Déraillement sans engagement de la voie principale
09/09/2014;Ruffec;non;Déraillement sans engagement de la voie principale
07/09/2014;Woippy;non;Déraillement sans engagement de la voie principale
28/08/2014;Ambérieu;non;Franchissement de signal
27/08/2014;Trappes;non;Réception intempestive sur voie occupée
27/08/2014;Brétigny;oui;Défaillance voie
27/08/2014;Entre Veauche et Montrond les Bains;oui;Dépassement de vitesse supérieur à 40km/h
06/09/2014;Pont à Vendin;non;Déraillement sans engagement de la voie principale
27/08/2014;Avignon Fontcouverte;non;Déraillement sans engagement de la voie principale
06/09/2014;Sibelin;non;Déraillement sans engagement de la voie principale
25/08/2014;Béziers Capiscol;non;Appareil de voie mal disposé
01/09/2014;Le Mans Dépôt;non;Déraillement sans engagement de la voie principale
26/08/2014;St André le Gaz;non;Dégagement de fumée sur matériel roulant
16/10/2014;Clisson;non;Départ sans autorisation
13/10/2014;Murat;non;Perte d’organe du matériel roulant
13/10/2014;Pagnac;non;Incident grave
13/10/2014;Sélestat;non;Déraillement sans engagement de la voie principale
19/10/2014;Poissy;non;Talonnage d’aiguille ou bivoie
11/10/2014;St Cyr les Lesques;oui;Intempéries
20/05/2016;Entre Empalot et Toulouse;non;Incident grave de signalisation
11/05/2016;Thionville;non;Formation intempestive d'un itinéraire
19/05/2016;Gare d'argenteuil;non;Réception intempestive sur voie occupée
09/05/2016;Mulhouse;oui;Franchissement de signal
30/05/2016;Reims;non;Franchissement de signal
20/05/2016;Pont à Vendin;non;Collision contre obstacle
09/05/2016;Chece Varains;oui;Raté de fermeture à un passage à niveau
17/05/2016;Gare de Aubergenville-Elisabethville;non;Franchissement de signal
16/05/2016;Entre Bayonne et Biarritz;non;Franchissement de signal
29/05/2016;Marseille;non;Dégagement de fumée sur matériel roulant
14/04/2016;Angers Saint Laud;oui;Franchissement de signal
05/04/2016;Valanciennes Saint Saulve;non;Collision par prise en écharpe
02/05/2016;Combs la Ville;non;Défaut d’immobilisation
25/04/2016;Chateauneuf sur Loire;oui;Déraillement
03/05/2016;Saint-Jory;non;Talonnage d’aiguille ou bivoie
15/04/2016;Entre Paris Saint-Lazare et Caen;non;Composition non conforme
